company,category,size,title,level,city,url,updated,filename
Moon Active,Gaming,l,Game Designer - Playable Ads,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/game-designer---playable-ads/D5.34F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/design.csv
Moon Active,Gaming,l,Marketing Art Director,Executive,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/marketing-art-director/7D.21D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/design.csv
Moon Active,Gaming,l,Product Game Designer,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/product-game-designer/78.813?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/design.csv
FullPath,Automotive,l,Product Designer (UI\UX),Designer,תל אביב - יפו,https://www.comeet.com/jobs/fullpath/54.002/product-designer-uiux/D5.846?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-23,jobs/design.csv
MASSIVit 3D Printing Technologies,Productivity,m,CNC and 3D Printing Systems Technologist,Designer,לוד,https://www.comeet.com/jobs/massivit/39.007/cnc-and-3d-printing-systems-technologist/08.742?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
SuperPlay,Gaming,l,3D Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/superplay/28.003/3d-artist/81.B40?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
SuperPlay,Gaming,l,Motion Graphics Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/superplay/28.003/motion-graphics-artist/FF.24F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
SuperPlay,Gaming,l,Tech Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/superplay/28.003/tech-artist/04.644?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
SuperPlay,Gaming,l,UI/UX Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/superplay/28.003/uiux-artist/46.944?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Checkmarx,Cybersecurity,l,UX/UI Designer,Designer,רמת גן,https://www.comeet.com/jobs/checkmarx/C0.008/uxui-designer/1F.B4B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Aitech,Aerospace,l,Office & Employee Experience Manager (Part time),Manager,כפר סבא,https://www.comeet.com/jobs/aitechsystems/88.004/office--employee-experience-manager-part-time/B0.A46?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Moon Active,Gaming,l,3D Motion Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/3d-motion-artist/DC.C17?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Moon Active,Gaming,l,3D Technical Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/3d-technical-artist/70.943?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Moon Active,Gaming,l,Senior Marketing Art Designer,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/senior-marketing-art-designer/BD.048?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Moon Active,Gaming,l,Technical Artist,Designer,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/technical-artist/B0.811?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
Candivore,Gaming,m,Senior Game Artist,Designer,תל אביב - יפו,https://il.linkedin.com/jobs/view/senior-game-artist-at-candivore-4056555906?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-22,jobs/design.csv
